"X","X20.Minute.Pesto.Chicken.Pizza","X30.Minute.Sheet.Pan.Chicken.Caprese","X4.Ingredient.BBQ.Baked.Salmon","X5.Ingredient.Cheesecake","X5.Ingredient.Honey.BBQ.Baked.Chicken.Wings","X5.Ingredient.Pound.Cake","Amazing.Rosemary.Sweet.Potato.Fries","Apple.Cinnamon.Muffins","Apple.Pie.Baked.Oatmeal","Asian.Sesame.Roasted.Broccoli","Awesome.Bacon.And.Potato.Egg.Casserole","Bacon.Cheeseburger.Mac.And.Cheese","Bacon.and.Cheese.Quiche","Baked.Ziti.Alfredo","Bakery.Style.Frosted.Sugar.Cookies","Banana.Chocolate.Chip.Bread","Barbecue.Baked.Chicken.Legs","Basic.Roasted.Chicken","Best.Ever.Chocolate.Chip.Blondies","Best.Ever.Chocolate.Chip.Muffins","Best.Ever.Broccoli.Cheese.Soup","Blueberry.Coffee.Cake","Brown.Sugar.Glazed.Pork.Chops","Cheesy.Egg.And.Hashbrown.Casserole","Cheesy.Gluten.Free.Cauliflower.Crust.Pizzas","Cheesy.Parmesan.Roasted.Asparagus","Chewy.Crispy.Peanut.Butter.Cookies","Chicken..Bacon..and.Pesto.Potato.Skins","Cinnamon.Roll.Cookies","Classic.Apple.Pie","Classic.Creamy.Chicken.Pot.Pie","Coffee.Cake.Muffins","Creamy.Spinach.Stuffed.Mushrooms","Crispy.Herb.Roasted.Potatoes","Crispy.Oven.Fried.Chicken","Crispy.Panko.Parmesan.Chicken.Breasts","Crispy.Sesame.Tofu.and.Broccoli","Curry.Coconut.Oil.Roasted.Cauliflower","Dairy.Free.Herb.Stuffed.Mushrooms","Double.Chocolate.Chip.Cookies","Easy.5.Ingredient.Chicken.Enchiladas","Easy.And.Delicious.Double.Chocolate.Muffins","Easy.Baked.Salmon.with.Herb.Butter","Easy.Baked.Sweet.Potato.Fries","Easy.Balsamic.Roasted.Vegetables","Easy.Beef.Lasagna","Easy.Chicken.Enchiladas.Verdes","Easy.Egg.And.Cheese.Casserole","Easy.Garlic.Herb.Baked.Salmon","Easy.Gluten.Free.Mac.And.Cheese","Easy.Honey.Balsamic.Asparagus","Easy.Honey.Mustard.Chicken.Thighs","Easy.Korean.Sticky.Chicken","Easy.Pork.Chops.with.Roasted.Vegetables","Easy.Sesame.Glazed.Roast.Vegetables","Easy.Sheet.Pan.Chicken.and.Veggies","Easy.Sheet.Pan.Greek.Chicken.with.Grape.Tomatoes..Artichoke.Hearts..and.Red.Onion","Easy.Sweet.Potatoes.Au.Gratin","Easy.White.Cheese...Garlic.Pizzas","Eggs.Baked.in.Avocado","Extra.Creamy.Scalloped.Potatoes","Farmers..Market.Vegetable.Bake.with.Sharp.Cheddar.and.Parmesan","Fat.Free.Seasoned.Sweet.Potato.Fries","Four.Cheese.Baked.Spaghetti","Frozen.Gingersnap.Pumpkin.Pie","Garlic.Roasted.Broccoli","Garlic.Butter.Baked.Chicken.Breasts.with.Cheese","Garlicky.Lemon.Asparagus","Gluten.Free.Baked.Chicken.Tenders","Golden.Parmesan.Herb.Crusted.Salmon","Ground.Beef.and.Potato.Gratin","Hamburger.and.Shells.Casserole","Healthy.Garlicky.Sweet.Potato.Fries","Healthy.Salmon...Veggie.Sheet.Pan.Dinner","Hearty.Italian.Beef.and.Vegetable.Soup","Herb...Garlic.Roasted.Chicken","Honey.Balsamic.Glazed.Brussels.Sprouts","Honey.Garlic.Baked.Chicken.Wings","Irish.Soda.Bread","Italian.Sausage.Stuffed.Mushrooms","Juicy.Herbed.Weeknight.Chicken.Thighs","Juicy.Oven.Baked.Cajun.Chicken.Breasts","Keto.Garlic.Rolls","Lemon.Blueberry.Bread","Lemon.Sugar.Cookies","Lighter.Lemon.Garlic.Herb.Baked.Chicken.Legs","Loaded.Baked.Potatoes","Melt.In.Your.Mouth.Baked.Chicken.Breasts","Melt.In.Your.Mouth.Fudgy.Brownies","Mexican.Wedding.Cookies","Moist.And.Delicious.Blueberry.Muffins","One.Pan.Garlic.Parmesan.Asparagus","Oven.Baked.BBQ.Baby.Back.Ribs","Parmesan.Crusted.Baked.Pork.Chops","Perfect.Soft.and.Chewy.Vegan.Sugar.Cookies","Quick.Margherita.Naan.Pizza","Quick.and.Easy.Italian.Meatballs","Restaurant.Style.Loaded.Chicken.Nachos","Roasted.Chickpeas","Sausage.and.Cheese.Egg.Casserole","Savory.Keto.Breakfast.Cookies","Sesame.Fried.Egg.and.Mushroom.Quinoa.Bowls","Sheet.Pan.French.Toast.for.a.Crowd","Sheet.Pan.Honey.Mustard.Pork.Chops.with.Roasted.Veggies","Sheet.Pan.Italian.Chicken.Dinner","Sheet.Pan.Pizza.Chicken","Sheet.Pan.Yellow.Squash.and.Chicken.Sausage","Sheet.Pan.Fish.Tacos","Skillet.Chicken.Tacos","Slow.Roasted.Beef.Tenderloin.with.Red.Wine.Mushroom.Sauce","Smoked.Sausage.Alfredo.with.Hillshire.Farm..Smoked.Sausage","Soft.and.Chewy.Keto..Sugar..Cookies","Sopapilla.Cheesecake.Bars","Super.Cheesy.Cauliflower..Mac..And.Cheese","Super.Easy.Banana.Muffins","Sweet.and.Salty.Candied.Bacon","Sweet.and.Spicy.Pecans","Twice.Baked.Potatoes","Vegan.Baked.Ziti","Vegan.Banana.Bread","Vegan.Black.Bean.Enchiladas","Vegan.Chickpea..Meatloaf.","Vegan.Spinach.Lasagna","Vegetarian.Bean.and.Cheese.Taco.Casserole","Za.atar.Roasted.Cauliflower.Steaks.with.Bean.Salad"
0,5,4.68265490843224,4.76698678904844,5,5,3.59432684261968,4.46622276429188,4.55636023505547,4.8207590596052,2,4.70173174340707,5,3.31233619959853,5,5.13791626772071,4.65076411416862,5.34435214822208,4.77247591389397,4.99247092964196,3.3339508901019,5,2.62628750181461,4.3621481494292,5.31134290898131,4.33218203801126,5.49927193195302,5,3.99750573065729,5.1889153762015,5,5,3.14716749438628,3.68767103302021,5,4.46155696194154,5,4.71945317063046,3.76754077149866,4.52258629889309,5.6630451341289,4.78516810787759,5.08336089827529,4.8646258167113,5,5.01383223359324,5.01305912293257,5,4.82827957304494,5,5,4.8259939471495,5,5,5.03585590214663,6.55324345920822,4.5,4.83799921572524,5,4.72164165443213,3,5,4.54940362887004,4.61982674847447,5,4.48597115926458,5,4.95902502173644,4.75929997656913,4.88856401322306,4,3.5500440426163,4.61716999530922,4.50298109463994,4.75,4.27611054754644,4.95970820145842,4.85489451153737,4.96925228896913,4.13916317605618,5,4.96926829532379,4.26142675148064,4.47758186675445,5.29480857398468,4.84544714536197,2.7992457261871,4.3079124376279,5,5,4.2996316953081,4,4.53441181434069,4.9035122400043,5,5,5.25026021178594,5,4.58183070293813,3,5.06732735768386,4.98760482049041,5,5.0196194607324,4,4.52831254033418,4.12608849794577,5.91346196405693,3.51406048697829,4.52957121500904,-0.654002952401017,4.84997845762626,3,3.87014828386317,3.87646246761161,5.07067373223461,4.21113773842118,4.67925206145145,5,5.67979993557348,5.12475140152198,5.05799938479957,5,5,5.87363683113523,2.97879097966436
1,4,4,5,5,5,3,4,5,4,3.14305942893649,5,4.59061899050681,3.09225536766305,4.45319707445254,5,4,5,4.35940191167531,4.58271059710443,3.12054213489454,4.65389572522128,2.48559948083038,4.00602241165289,5,3.99031785610729,5.01418015948841,4.33165101447512,3.66261992429822,4.73005198508283,3.13568534645081,4.60740272654821,2.93549936484246,3.42382576564812,4,4.09927698511645,4,4.31797687961883,3.49114604886652,4.17100402352584,5.12703224152856,4.38820983196636,5,4.4560744850207,4.5089801238071,4.59997259175455,4.53124799102482,5,4.41172634895788,4.30850669699878,4.20710280130437,4.42244628209881,5,4.46759120594403,4.60647260577449,5.8455164603199,4.16966357494716,4.43631249898644,4.6777705584507,4.33042693170985,1,4.41734265253855,4.10111488095225,5,4.58817166534431,4.09505035954654,5,5,4.35335165713485,4.48500267596892,3.7644573335507,3.28529449762065,4.2264568546954,4.15202835611765,4.45119967689904,3.95058241219922,4.50636688435798,4.45277675788969,4.54187372114124,1,3.9194988464896,4.5640709554343,2,4.10272404225189,5,5,2.62311827351308,3.96966971217121,4.5,4.74253712809276,3.96018918175406,4.5,4,5,4.5359841935549,4.33429121704699,5,4.61633095765665,5,5,4.65361471645793,4.56040597339491,4.56586002263238,4.60500958384034,5,5,2,5,3.26567166655827,4.16134800887512,-0.430326781043152,4,5,3.59042661306551,3.56459638511542,4.6488169605029,1,4.31226629527702,5,5,4.70190429067094,5,4.12522356783208,4.28143187192419,5.3241609582642,2.7890978490342
2,4.70711377102437,4.4074707977954,5,4.5869972253594,4,1,4.21187330729301,4.28954364969418,4.45870508408736,4,4.39545890120862,5,3.2285525719296,4.57111834724106,5,4.39020433058871,4.99506362007398,4.4454477195696,5,3.2670497941544,5,2.63253401478895,4.10930913233717,4.91691073011824,4.10647747241651,5,4.44298221050218,5,5,3.27032965023892,4.71100820856108,3.06205542215926,1,4,4.20717239910887,4.19724381324259,4.41112344162626,3.61620596022126,4.29837006152839,5.17641823680388,5,5,4.55814981322324,5,4.71348177240743,4.56655061806869,5,4.50033109777597,5,4.30346175367568,4.52573333572075,4,4.57331427891962,5,5,4.28007837051695,4.54314983726351,4.78963819773342,4.4356272016184,5,5,4.12046090109885,4.35175212220531,5,4.17289024207131,5,4.6480409402917,4.5,4.59562785149631,2,3.39817915634957,4.31995521389149,4.27781390405586,4.56517694114761,4.07893156105195,4.5681275317212,4.5611042831909,5,3.89047274947977,4.00550930636691,5,4.02048257741452,4.19804361287993,5,4,2.74964006011987,4.08714008512984,5,5,4.0753070691155,4.33333333333333,4,4.61760738654127,4.64306225473707,3,4.92294595132515,4.73098250714427,4.33160216722798,5,4.77358015037663,4.6554981680859,4.67985383138295,4.71833647999586,3,4.271795354909,3.91226362811041,5.31348085665372,3.39313515553921,4.27040489660018,-0.250057825594548,4.55567747222204,4.30585527973303,3.72372135759382,3.66168065310346,5,4,4.44033765997264,5,5,5,5,4.16948884935507,4.39466376258339,5.3828209500635,2.92112669468108
3,5,5,5,4.87066798080905,5,5,4.49771501306035,4.57721295284581,4.72020667138258,3,5,5,3.49689331177957,5,5.09022836500621,4.69016726647006,5.31296051009556,4.72120460079415,5.01271457860444,3.54650823658875,5.08312372590152,2.88435344868816,5,5.20742414687749,4.39503214492164,5.4100823208592,4.74195039642633,3.99128242857353,5.10096462343404,3.53899164971179,5,3.31405629685371,5,4.87758366698378,4.49255382588483,5,4.6919127768609,3,4.60573795657099,5.45065852044138,4.79064991228741,5,4.85366955753745,4,5.02640925720525,4.80085832145734,5.26339454832307,5,5,4.58245735573318,4,4.65899304884454,4.5,5,6.01844789061934,4,5,5.10441628714528,4.72861600961239,1,4,5,4.5,4.99948056051016,4.42903745184459,4.89836804437656,4.95006873244187,4.72795020723082,4.90068872446155,5,5,5,4.58281597877462,4.87198406985057,4.3775114367315,4.82690662901893,4.5,4.92487945220882,4.14841387608753,4.26179724651937,4.99820402989922,4,4.47142327282931,5.25337585227246,5,2.98780691548205,4.37604932376754,4.71226804674203,5.13710745897504,4.36152387634412,4,5,4.92786113912325,4.94694732891651,4.71317605649823,5.2437503496081,5.04573675381879,5,4.24246233660688,5.09511724151645,4.94887832145331,4.9917426075879,5.0313103267357,4.0761746962708,4.56234616811112,4.18770487416214,5.55049450299822,3.66059993525855,5,-0.0948466898852285,4.85635445244307,4,4,3.91299151338111,5,5,4.75462814804209,4.50673440658658,5.37602247112284,5.13816251261525,5,4.39452057398911,4.6932502290505,5.67473327015169,3.17194883072337
4,4.5,4.5,4.7382220006637,5,5,3.7404812308018,4.51584102623356,4.59170774155879,4.69207529868536,5,4.67376972178306,5,4,4.90205598095012,5,4.71138537132336,5.31016291378263,4.71046818526584,5.0276732619388,3.62705713218558,5.09437526277767,2.97993210936799,4.40141302171445,5.17886411258624,4,5.38703673875163,4.75812542209897,3.99530758043855,5.07787443398937,2,5.01650499259148,3.37812446106831,3.88745677930091,4.89657395098263,4.5104969512689,4,4.68950635873359,3.94105811245738,4.64226517362126,5.38419469119193,4.66666666666667,5.08090643774956,4.85736853752989,4.91730710720735,5.03868340747496,5,5.24944649865233,4.77159331865113,4,4.58593596967735,5,4.66751579975291,4,4.99946474146673,5.83907720742481,4.58994838729716,5,5.11319750756063,5,5,5,4.24623365047766,4.660786263439,5,5,4.89329104095804,4.95462385473192,5,5,4.23643904658246,3.694247618216,4.59710279527005,3,5,4.42012382889552,4,4.87279220409603,4.91689529326814,5,4.26112976127337,5.01620790335389,4.31239787458593,4.47621970779726,5.24694144688673,4.74182469479266,3.05901563460336,4.40691914576865,4.71046768751563,5.12593992879309,4.390167032214,5,4.62289616256044,4.94413647125515,4.95400890310038,4.71262906627067,5.24962671246671,5.05882214239161,3.5,5,5.11286776375101,4.94292440636871,5.00530398275459,5.04327935384081,4.07303330089006,4.5814698899727,5,5.43103986953384,3.71802613417836,5,0.102355650586088,5,5,4.06719439411359,4,5.08101132808247,5,4.78864312353668,5,5,5.15090524934346,5.06017002309025,4.34574985416219,4,5.61337747585174,4
5,5,4,4,5,5,3.62014443411342,4.31559533697683,4.3815522325888,4.40590619920722,3.43333422772162,4.43214858672624,4.65661763234077,3.50287363686854,4.68560625942878,5,4.50630585329394,5.03459332413819,4.45229083774976,4.79604694261739,3.57597347558686,4.8531804257975,5,4.20229949364019,5,5,5.07387006105646,5,3.79816714277533,4.78040658098811,4,4.76358472900521,3.31233133736752,3.78314465950712,5,4.31021974222054,4,4.44625234826032,3.82273016707978,4.4661731602834,4.99896268335095,3.66666666666667,4.83034706506061,5,5,4.66666666666667,4.37983981615546,4.95842988358128,4.51272057819188,4.53820044190151,4.35775356240466,4.5899501761799,4.44356037933814,4.64313347808582,4.73819761700657,5.24285861832585,4.38728235163266,5,5,4.51305256487486,4,4.61339325962125,1,4.5,4.75702321649946,4.1686196806572,4.63519869239929,5,4.47708597077003,4.68179527279925,4.5,3.57533569293009,4,4.4412694721017,5,4.26548560157311,5,4.5,4.65276370317405,3.96218767682019,4.04262298080693,4.79023108672585,4.12272845278472,4.25582657702963,4.96854882701329,4.46407331797759,3.02137867442268,4.23342514422144,4.5,4,4.21382445690086,5,5,5,4.71300688835757,4.47128784500649,4.99157154133275,4.8224911136745,4.45816190951238,4.0866436396587,4.88153814434137,4.68084141456896,4.77249500205967,5,3.86000848715209,4.37953523364195,5,4,3.62384524698742,4.37332166551732,0.425107368610921,4.33333333333333,4.34707989815977,3.95286907999483,3.76296628199331,4.83599040897002,3.97672949907086,4,4,4.84357485409513,4.90930639833989,4.81263324980889,4.04292379388492,4.5042308482021,5,3.20111350687787
6,5,4.52435247546192,4,4.60439305154458,4.6749448201831,3.65211446288688,4.34052569994483,4,4.41238806867333,1,4.44940424678437,4.6680275062775,3.5458377321815,4.71289799970126,4.82323272672002,4.53326984847703,5.05393781550331,4.46603708449882,4.82164358740927,4,5,3.03789001199871,4,4.87533082237057,4.27572938017852,5.08513816142969,4.56733295736096,3.81525668586481,4.79046262627515,3.57772504192021,4.78370192184644,3.35186775985103,3.82153107187511,5,5,4.28166543571009,4.4633623839973,4.5,4.49920110069762,4.99226498931558,5,4,4,5,4.82655964351592,4.37023797653717,4.97292889603228,4.52730531602223,5,3,4.5,4.46510507223475,5,4.75595744082778,5.19122656282069,4.41283711108494,5,4.89030618022025,4.53541274793473,5,5,3.89208833244295,4.47429665075499,4.77833991579837,4.18021368054308,4.5,5,4.49379740556473,4.70569047557484,4.13861493238826,3.60689501297494,4.38044155858275,5,4.69124419596273,4.30017231533903,4,4.6643323896178,5,5,4.0587982513877,5,4.5,4.27509176745283,4.98614529815449,4.47347139295276,3.06263593287096,4.26320495248195,4.4845938045467,4.86102082746556,4.24261879184049,4.55362427949123,4,4,5,4.48925608489168,5,4.84743335074971,4.48623629844147,4.11271028991521,4.90861822051621,4.69746283989513,4.79742745268854,4.83030521675019,3.87443451785369,5,4.07588095993786,5,3.66194729278642,4.39832338763349,0.507051962146519,4,4.364630654755,3.9917397514311,3.78600071353717,5,3.99275517768136,4.63345910945954,4.35263709004725,4.82307714029517,4.93446245089691,5,4.03953355153728,4.53040768231651,5.22124770230042,3.24387866636583
7,4.92874882332004,5,4.64324168869396,4.7334734741401,5,4,4.48106988959059,4.54542091299965,4.5255025026326,4,4,4.79487766556878,3.69630244799391,4.86585063209992,5,4.68151683390307,5,4.59186322400568,4.97445767007912,3.78241772249627,5,3.18923512617691,4.36093980138423,5.00192554221627,4,5,4.66666666666667,3.93118248484993,5,3.72740174999023,4.5,3.49240177432362,3.97120239043939,5,4.47531857061421,4.41316514013133,4.59443306917587,4,4.65622051187664,5.09810815087015,4,4.99960413934628,5,4.83719819471221,5,4.45699493264229,5.11176236813467,4.65588296433234,4,4.50916049341787,5,4.66666666666667,4.80817809267383,4.89487601427397,5.23081798576908,4.5560525464324,4.78533561009036,5.04121201548254,4.67644645255664,3.57548555588565,4.78273987277916,5,4.61747982558062,4.92339194396232,5,5,4.87388922285546,4.62494891919104,4.85311646217067,4.29295462131556,3.74079061026445,4,5,5,4,4.58803506923917,4.80947683957555,4.80204391679951,4.10680054448671,4.1789605518554,4.97166643310095,5,5,5,4.59261095043799,3.19914052112377,4.40959694828987,4.6166826406638,4.99830658899998,4.3869760171136,4.69266488127222,4.61457812015678,4.89615240343948,4.88024753460877,4.62228451460113,5.16700151020152,4.99981636749335,4.63513837708638,4,5.06580073128299,4,4.94862899012791,5,3,4.54823289433155,5,4.99688836486821,3.80744879643071,5,0.648156106883301,4.80173187710134,4.49409441689608,4,3.91062333169141,4.5,4.11114147776642,4.792861725492,4.4942831690254,4.90320343696026,5.08921214391355,4.98253963107403,5,5,5.33715879002532,3.38698843501426
8,5,5,4,5,4.69328252998062,5,5,4.41843610110184,4.34595961382119,3.53394346167346,3,4.61872672773975,3.66641922942854,4.73579660195472,4,4.55857846506735,5.03277523689545,4.43190976268701,4.8343584884255,3.76221502638597,4.88312033605975,3.20672048994754,4.24084346367099,4.80664205460372,5,5.02608121570273,4,3.81073668737342,4.7322518393031,3.69313760006114,4.77199726861732,3.46088877595944,3.91500338910742,5,4.35487439573183,4.28068802803756,4.44479271128571,3.93921250812035,5,5,5,5,4.62826993859067,4.68846219280823,5,4.23062074390388,4.93120779972963,4,4,5,5,4.46693086689681,4.66373467749156,4,4.8400303208126,4.43428070874196,4.64396280087296,4.89127333668101,4,3.50707205673261,4,4,4.49011921851824,4.77227922851429,4.1424072240524,4.62784144973904,4.72401706176764,4.47272689926609,4.71309620116044,4.21720752414401,3.67359440939558,4.36674030749843,5,4.5,4.36615184239938,4.39250002138224,5,5,3.98787073356346,4.04475058330933,4.83545647392565,3,4.27056113796176,4.95840788159,4.41914682460804,3.18589814111771,4.30738177551994,4.4670884681408,5,4.28270413236723,4.55021450819128,4.50270932858757,5,4.73330027698649,5,5,5,4.51768770718158,4,4.92627019195601,4.67153285451798,5,5,3.85635041331629,2,4,4.68833696948744,3.75759205547351,4.4175355078371,0.873560988298183,4.66073340260427,5,4.08372878951287,3.80951135824574,4.85975624386415,5,4.6823390371647,4.37491080118388,4.6233725117341,5,5,3.93575460827902,4.55215177255505,5.09024959387734,3.37013340986358
9,4.84467635991674,4.61226378306577,4.5,4.62132332452532,3,3.8067363092514,4.43666456777513,4.49224622897929,4.38362257223221,5,5,4.66812729645368,3.77593300892807,4.81877755746334,4.8511666377264,5,5.1009345152025,4.48511302301558,4.91437438318929,3.88127893290647,4.5,3.33039429542151,4.31282787839688,4.85040183247535,4,5,4.66062121908465,3.8674092181347,5,3.80078759371868,5,3.56215035318303,5,5,4,5,4,4.03536933361254,4.64704996311873,4.86561514008188,5,4.91868361843327,4.69612011156065,5,5,4.23429448380191,4.9887548242136,4.55100168335906,4.67054869384061,4.43363238782092,4.67633683057848,5,4.66666666666667,4.79720467877311,5,4.51197975396412,4,4.96699465504638,4.61112369405713,3.58636029103169,4.5,3.73277769713491,4,5,3,4.68845247281105,4.79391344341627,4.53230539113599,4.78890859060302,4.31671884206049,3.75950268165648,5,4.61800115127429,5,4.46240440695622,5,5,4.69718546317118,4.05172654355293,4.10083193337323,4.9179975823308,4.24129134645141,5,5,4.46326388793687,3.28919474388404,5,4.52814935600623,5,4.36627490552185,5,4.58914071858973,4.84025820325755,4.80539244844926,4.53626738968242,5.08440446299946,4.93535303693042,4.60107560136829,3,5,4.73203286197726,4.88610017390816,5,3.90775493643524,4.50467912609828,4.19673515675212,4.65552515717642,3.85753354763007,5,1.04832575006992,4.73408341725309,4.41088233881665,4.18708173783548,3.87850258626194,4.93483834098929,4.03486681778719,4.77593263578676,3,4.60664502814797,5.02239133270776,5,3.95066327672017,4.63179757012191,5,3.47758325726639
