,title,rating,time,price,calories,sodium,fat,protein,carbs,personal_rating,ingredients,url
1,Four-Cheese Baked Spaghetti,4.5,75.0,38.35,570.0,1230.0,28.0,31,51,"[['Kaitlin Judd', 3.0], ['Em Spreadborough', 5.0], ['Nichole McNeese', 5.0], ['Strauß', 5.0], ['Tanya Hollabaugh', 4.0], ['Kimberly M.', 5.0], ['Jacqulyn W.', 5.0], ['Alexandra A. Albu', 5.0], ['kerri', 5.0], ['Cassandra Leigh Leigh', 5.0], ['Sarah', 5.0], ['Aubrey Mangum', 5.0]]","['spaghetti ', 'lowmoisture ricotta cheese ', 'grated Parmesan cheese ', 'salt ', 'black pepper ', 'garlic powder ', 'Italian seasoning ', 'marinara sauce ', 'fresh mozzarella ', 'provolone cheese ']",https://www.yummly.com/recipe/Four-Cheese-Baked-Spaghetti-2684086
3,Creamy Spinach Stuffed Mushrooms,4.5,33.0,17.99,70.0,180.0,5.0,3,3,"[['Avery', 1.0], ['Ischa Bremer', 4.0], ['Kiauna Gasiorowski', 4.0], ['Evita Acuna', 5.0], ['Tracey S.', 5.0], ['Reynolds', 4.0], ['Nina', 4.0], ['M1nn1e', 5.0], ['Matt', 4.0], ['Michael Castro', 5.0], ['Sugar Time', 5.0], ['Biggelton Schmuggs IV', 5.0], ['Jon Lucas', 4.0], ['Kishore', 5.0], [""I Don't Know"", 5.0], ['Krysa Robertson', 5.0], ['Virag', 5.0]]","['cremini mushrooms ', 'cream cheese ', 'grated Parmesan cheese ', 'salt ', 'black pepper ', 'garlic ', 'olive oil ', 'baby spinach leaves ', 'shredded Italian cheese blend ']",https://www.yummly.com/recipe/Creamy-Spinach-Stuffed-Mushrooms-2483585
7,Best Ever Chocolate Chip Muffins,4.5,41.0,30.7,270.0,270.0,14.0,4,34,"[['Sophia', 5.0], ['Heidi Crosgrove-Trobaugh', 4.0], ['Sarah Slansky', 5.0], ['Min', 5.0], ['Colby', 4.0], ['Scott Anders', 5.0], ['Rebecca Gold', 5.0]]","['unsalted butter ', 'granulated sugar ', 'light brown sugar ', 'vanilla extract ', 'large eggs ', 'sour cream ', 'milk ', 'allpurpose flour ', 'baking powder ', 'baking soda ', 'salt ', 'cinnamon ', 'chocolate chips ']",https://www.yummly.com/recipe/Best-Ever-Chocolate-Chip-Muffins-9029439
8,Sheet Pan Yellow Squash and Chicken Sausage,4.5,42.0,20.08,340.0,960.0,24.0,22,10,"[['Holly Lynch', 5.0], ['Amy J.', 5.0], ['Cathleen Walter', 4.0], ['Jessica', 4.0], ['Jenny M.', 5.0], ['Coto', 5.0], ['Madeline Rose', 5.0]]","['yellow summer squash ', 'cooked chicken sausage ', 'olive oil ', 'Italian seasoning ', 'salt ', 'black pepper ', 'garlic clove ', 'shredded Parmesan cheese ']",https://www.yummly.com/recipe/Sheet-Pan-Yellow-Squash-and-Chicken-Sausage-9116039
9,Hearty Italian Beef and Vegetable Soup,4.5,40.0,23.1,240.0,920.0,7.0,27,19,"[['Isabella', 5.0], ['Rejeana Black', 5.0], ['Stacey Fisher', 5.0], ['Jessica K.', 5.0], ['Desiree', 4.0]]","['medium onion ', 'garlic cloves ', 'large carrots ', 'celery stalks ', 'lean ground beef ', 'tomato paste ', 'Italian seasoning ', 'beef broth ', 'fire roasted diced tomatoes ', 'cannellini beans ', 'crushed red pepper flakes ', 'Swiss chard ', 'salt ', 'pepper ', 'grated Parmesan cheese ']",https://www.yummly.com/recipe/Hearty-Italian-Beef-and-Vegetable-Soup-9144738
11,Loaded Baked Potatoes,4.5,80.0,16.16,410.0,660.0,23.0,12,40,"[['Ronn', 5.0], ['Emily De Nicola', 5.0], ['William Rodriguez', 5.0], ['Tesia Vandenberghe', 4.0], ['Stephanie S.', 5.0], ['Kane', 5.0], ['Kimberly Canfield', 4.0]]","['russet potatoes ', 'scallions ', 'butter ', 'sour cream ', 'bacon ', 'shredded cheddar cheese ', 'salt ', 'black pepper ', 'sour cream ']",https://www.yummly.com/recipe/Loaded-Baked-Potatoes-2465548
14,Soft and Chewy Keto “Sugar” Cookies,4.5,23.0,22.04,240.0,180.0,23.0,6,6,"[['Tamara Canion', 5.0], ['Jason T.', 3.0], ['Franki Jo Worley', 5.0], ['Nicholaus Chandler', 5.0], ['Stacie Reed', 5.0], ['Joseph Metz', 5.0], ['Yanet G.', 1.0], ['Sierra Martin', 4.0], ['Edison', 5.0], ['Jonathan H.', 4.0], ['Nikki Cotton', 5.0], ['Amanda', 5.0], ['Shanah Wilson', 5.0], ['Mahalia Ramachandran', 4.0], ['Immarian D.', 5.0], ['Blair E.', 4.0], ['Lauren Boone', 5.0], ['Marzan', 5.0], ['John', 4.0], ['Briana', 5.0], ['Alli', 3.0]]","['unsalted butter ', 'full fat cream cheese ', 'erythritol ', 'eggs ', 'vanilla extract ', 'superfine almond flour ', 'baking soda ', 'salt ']",https://www.yummly.com/recipe/Soft-and-Chewy-Keto-Sugar-Cookies-9029522
17,Amazing Rosemary Sweet Potato Fries,4.5,30.0,5.44,130.0,360.0,3.5,3,24,"[['Yusuf', 5.0], ['Elaine', 5.0], ['Nick', 5.0], ['Anika Hendrickx', 4.0], ['Jenifer Cardenas', 4.0], ['Noelle Rankin', 5.0], ['Hana Ohana', 5.0], ['McLeod', 4.0], ['Hi', 3.0], ['Noam’s Place', 4.0], ['Krisztina S.', 5.0], ['Vanessa', 4.0], ['Mandi Wetter', 5.0]]","['sweet potatoes ', 'olive oil ', 'salt ', 'black pepper ', 'fresh rosemary ']",https://www.yummly.com/recipe/Amazing-Rosemary-Sweet-Potato-Fries-9029475
18,Farmers' Market Vegetable Bake with Sharp Cheddar and Parmesan,3.5,47.0,16.13,90.0,350.0,5.0,6,5,"[['Donna Curzio Stahl', 3.0], ['Devina Gonzalez', 5.0], ['David', 5.0], ['Chris P.', 1.0], ['Brashear', 5.0], ['Lawsage Macomber', 4.0], ['Michael Musial', 3.0], ['Francesco Robotti', 4.0]]","['small eggplant ', 'zucchini ', 'summer squash ', 'salt ', 'large tomato ', 'garlic ', 'grated Parmesan cheese ', 'shredded sharp cheddar cheese ', 'fresh thyme ']",https://www.yummly.com/recipe/Farmers_-Market-Vegetable-Bake-with-Sharp-Cheddar-and-Parmesan-2483595
20,Oven Baked BBQ Baby Back Ribs,4.5,3.0,64.28,1070.0,860.0,56.0,89,51,"[['Amanda E.', 5.0], ['Renee Moshoures', 5.0], ['S Rickards', 5.0], ['Croft', 4.0], ['Julie Psst', 4.0], ['Wheeler', 5.0], ['Chantal Harding', 5.0], ['Elias Hardt', 5.0], ['Morris', 5.0], ['Sologub', 5.0], ['tara b.', 5.0]]","['chicken broth ', 'baby back ribs ', 'salt ', 'black pepper ', 'dark brown sugar ', 'paprika ', 'ground mustard ', 'garlic powder ', 'onion powder ', 'cumin ', 'cayenne pepper ', 'barbecue sauce ']",https://www.yummly.com/recipe/Oven-Baked-BBQ-Baby-Back-Ribs-2436621
